Nom,Prénom,Mail,Né(e) le,Téléphone,Sexe,Classe,Projet d'accompagnement,Allergies,Régime,Sport,Club,Formation,Groupes,Toutes les options,Redoublement,Moyenne Générale
AHMED,Ethan,ahmed.ethan@outlook.com,17/5/2004,0780724744,Masculin,TARED,,Fruits à coque,Externe,Basketball,Actualité,TLEPRO SYST.NUM.OPT.B AUD.RES.EQUIP.DOM.,"TAREDCONSTR, TAREDMATHS",ANGLAIS LV1,FAUX,"13,29"
AIT GHERBI,Eddy,ait gherbi.eddy@gmail.com,5/9/2003,0671152395,Masculin,,,,Demi-pensionnaire,Basketball,Robotique,,,"ANGLAIS LV1, ESPAGNOL LV2",FAUX,"14,35"
AIT SELLAMET,Rayane,ait sellamet.rayane@gmail.com,2/9/2001,0716122292,Masculin,1RISC,,Soja,Demi-pensionnaire,Natation,Actualité,1ERPRO SYST.NUM.OPT.C RES.INF.SYST.COMM.,"1RISCACCPE, 1RISCACCPE_1, 1RISCFRANCA_1, 1RISCMATHS, 1RISCMATHS_1",ANGLAIS LV1,FAUX,"11,35"
AKITANI,Aude,akitani.aude@free.fr,16/3/2001,0779543479,Féminin,TBC,,Poisson,Demi-pensionnaire,Natation,Sport,TLEPRO COMMERCE,"TBCMATHS, TBCVENTP","ANGLAIS LV1, ESPAGNOL LV2",FAUX,"12,03"
AKKARI,Yanice,akkari.yanice@gmail.com,12/12/2001,0666696443,Masculin,,,Poisson,Externe,Natation,Natation,,,ANGLAIS LV1,FAUX,"14,89"
AKPA,Djehoury,akpa.djehoury@outlook.com,2/7/2003,0635766754,Masculin,,,Fruits à coque,Demi-pensionnaire,Karaté,Natation,,,ANGLAIS LV1,FAUX,"15,82"
ALAHOUM,Ines,alahoum.ines@yahoo.fr,11/8/2001,0789461244,Féminin,,,Soja,Demi-pensionnaire,Football,Robotique,,,"ANGLAIS LV1, ESPAGNOL LV2",FAUX,"10,62"
ALBIC,Anastasia,albic.anastasia@orange.fr,27/3/1999,0650712292,Féminin,2BR2,,Lactose,Externe,Basketball,Sport,2NDPRO CUISINE,"2BR2APS CU, 2BR2APS RE, 2BR2FRANCA, 2BR2MATHS, 2BR2MATHS_1",ANGLAIS LV1,FAUX,"13,46"
ALICTO,Mhel Francis,alicto.mhel francis@gmail.com,28/8/2000,0749323099,Masculin,TBRS,,Soja,Externe,Gymnastique,Magie,TLEPRE EUROPEENNE CUISINE,"TBRSACCPE, TBRSMATHS","ANGLAIS LV1, ANGLAIS SECTION EURO",FAUX,"11,92"
ALILI,Lina,alili.lina@yahoo.fr,12/5/2000,0782761370,Féminin,TBRS,,Poisson,Demi-pensionnaire,Tennis,Sport,TLEPRE EUROP.COMM.ET SERV.EN RESTAU,"TBRSACCPE, TBRSMATHS","ANGLAIS LV1, ANGLAIS SECTION EURO",FAUX,"10,62"
ALLICHE,Idir,alliche.idir@free.fr,23/10/1999,0772471015,Masculin,2POP2,,,Externe,Basketball,Robotique,2NDPRO METIERS ELECT. ENVIRON. CONNECTES,"2POP2MATHS, 2POP2MATHS_1",ANGLAIS LV1,FAUX,"11,03"
ALMEIDA GOMES,Francisco,almeida gomes.francisco@orange.fr,23/9/2000,0633155040,Masculin,MCCDRA,,Fruits à coque,Externe,Natation,Art,MC  CUISINIER DESSERTS RESTAU. (MC5),,"ANGLAIS LV1, ANGLAIS SECTION EURO",FAUX,"15,32"
ALVES DE PAULA NOGUEIRA,Clara,alves de paula nogueira.clara@free.fr,1/10/2000,0655413099,Féminin,TBRS,,Oeuf,Externe,Tennis,Cinéma,TLEPRE EUROPEENNE CUISINE,"TBRSACCPE, TBRSMATHS","ANGLAIS LV1, ANGLAIS SECTION EURO",FAUX,"11,79"
AMALOU,Lydia,amalou.lydia@outlook.com,22/7/2001,0678632772,Féminin,1BC,,Lactose,Demi-pensionnaire,Football,Robotique,1ERPRE EUROPEEN COMMERCE,1BCMATHS,"ANGLAIS LV1, ESPAGNOL LV2, ANGLAIS SECTION EURO",FAUX,"13,98"
AMANI,Bilal,amani.bilal@gmail.com,7/7/2002,0790685263,Masculin,1BC,,Soja,Externe,Karaté,Natation,1ERPRO COMMERCE,1BCMATHS,"ANGLAIS LV1, ESPAGNOL LV2",FAUX,"17,66"
AMORIM,Nicolas,amorim.nicolas@orange.fr,9/3/2004,0731126912,Masculin,TBP,,Fruits à coque,Demi-pensionnaire,Natation,Art,TLEPRO BOULANGER-PÂTISSIER,TBPMATHS,ANGLAIS LV1,FAUX,"10,55"
ANDRADE FONSECA DA GRAÇA,Elda,andrade fonseca da graça.elda@free.fr,10/8/2004,0625433956,Féminin,,,,Externe,Gymnastique,Art,,,ANGLAIS LV1,FAUX,"17,3"
ANDRE BENTO,Junior Manuel,andre bento.junior manuel@yahoo.fr,18/3/2002,0727287049,Masculin,TARED,,Fruits à coque,Externe,Gymnastique,Théâtre,TLEPRO SYST.NUM.OPT.B AUD.RES.EQUIP.DOM.,"TAREDCONSTR, TAREDMATHS",ANGLAIS LV1,FAUX,"10,44"
ANTONIO PANZU,Jeruscha Inès,antonio panzu.jeruscha inès@outlook.com,9/7/2001,0764875464,Féminin,2MCV1,,Kiwi,Demi-pensionnaire,Basketball,Art,2NDPRO MET. RELATION CLIENT 2NDE COMMUNE,"2MCV1FRANCA, 2MCV1MATHS, 2MCV1VENTP","ANGLAIS LV1, ESPAGNOL LV2",FAUX,"16,26"
APPERY,Alexis,appery.alexis@outlook.com,10/9/2000,0754221577,Masculin,1ARED,,Oeuf,Externe,Tennis,Robotique,1ERPRO SYST.NUM.OPT.B AUD.RES.EQUIP.DOM.,"1AREDCONSTR, 1AREDMATHS",ANGLAIS LV1,FAUX,"10,01"
ARAB,Ibrahim,arab.ibrahim@yahoo.fr,24/3/1999,0669060126,Masculin,1MELEC,,Fruits à coque,Demi-pensionnaire,Karaté,Natation,1ERPRE METIERS ELECT. ENVIRON. CONNECTES,"1MELECCONSTR, 1MELECMATHS","ANGLAIS LV1, ANGLAIS SECTION EURO",FAUX,"16,96"
ARAHNG BEKA,Charles Eric,arahng beka.charles eric@orange.fr,21/6/1999,0612082089,Masculin,2BP,,Kiwi,Externe,Gymnastique,Cinéma,2NDPRO BOULANGER-PÂTISSIER,"2BPACCPE, 2BPMATHS",ANGLAIS LV1,FAUX,"11,75"
ARAMBOL,Tom,arambol.tom@free.fr,1/4/2004,0668420611,Masculin,1BP,,Poisson,Demi-pensionnaire,Natation,Natation,1ERPRO BOULANGER-PÂTISSIER,1BPMATHS,ANGLAIS LV1,FAUX,"13,01"
ARIYARATNA,Shérine,ariyaratna.shérine@yahoo.fr,21/10/2002,0798979486,Féminin,,,Poisson,Externe,Karaté,Peinture,1CAP2  EMPL.VENTE: PRDTS EQUIP.COURANTS,,ANGLAIS LV1,FAUX,"16,79"
ASSAS,Hamza,assas.hamza@orange.fr,28/5/1999,0741259133,Masculin,1RISC,,Lactose,Externe,Gymnastique,Peinture,1ERPRO SYST.NUM.OPT.C RES.INF.SYST.COMM.,"1RISCACCPE, 1RISCACCPE_1, 1RISCFRANCA_1, 1RISCMATHS, 1RISCMATHS_1",ANGLAIS LV1,FAUX,"17,78"
ASSEMIEN,Christ,assemien.christ@free.fr,6/10/1999,0779208961,Féminin,2MCV1,,Lactose,Externe,Gymnastique,Natation,2NDPRO MET. RELATION CLIENT 2NDE COMMUNE,"2MCV1FRANCA, 2MCV1MATHS, 2MCV1VENTP","ANGLAIS LV1, ESPAGNOL LV2",FAUX,"14,77"
ATAKOUN,Ouaïna,atakoun.ouaïna@free.fr,17/11/2000,0754629320,Féminin,2MCV1,,,Externe,Natation,Peinture,2NDPRO MET. RELATION CLIENT 2NDE COMMUNE,"2MCV1FRANCA, 2MCV1MATHS, 2MCV1VENTP","ANGLAIS LV1, ESPAGNOL LV2",FAUX,"15,88"
ATALLAH,Amine,atallah.amine@yahoo.fr,21/12/2002,0661874340,Masculin,2BP,,Kiwi,Demi-pensionnaire,Danse,Robotique,2NDPRO BOULANGER-PÂTISSIER,"2BPACCPE, 2BPMATHS",ANGLAIS LV1,FAUX,"11,76"
AUBRAS,Anthony,aubras.anthony@yahoo.fr,11/7/2002,0668994180,Masculin,TBP,,Soja,Demi-pensionnaire,Football,Magie,TLEPRO BOULANGER-PÂTISSIER,TBPMATHS,ANGLAIS LV1,FAUX,"12,43"
AUDIRAC,Estelle,audirac.estelle@yahoo.fr,16/12/2003,0673740501,Féminin,1BC,,Lactose,Externe,Basketball,Robotique,1ERPRO COMMERCE,1BCMATHS,"ANGLAIS LV1, ESPAGNOL LV2",VRAI,"11,29"
AYED,Samir,ayed.samir@orange.fr,28/9/2002,0746592447,Masculin,TBRA,,Lactose,Externe,Tennis,Actualité,TLEPRO CUISINE,,ANGLAIS LV1,FAUX,"12,55"
AZLAOUI,Hakim,azlaoui.hakim@outlook.com,24/9/1999,0757505863,Masculin,1BRS,,,Demi-pensionnaire,Football,Actualité,1ERPRE EUROPEENNE CUISINE,1BRSMATHS,"ANGLAIS LV1, ANGLAIS SECTION EURO",FAUX,"14,73"
AZZOUZ,Yanis,azzouz.yanis@gmail.com,8/12/1999,0783621311,Masculin,TEVS,,Soja,Externe,Danse,Magie,2CAP2  EMPL.VENTE: PRDTS EQUIP.COURANT,,ANGLAIS LV1,FAUX,"15,24"
BA,Abdine,ba.abdine@gmail.com,4/8/2002,0664675294,Masculin,TRISC,,Fruits à coque,Demi-pensionnaire,Karaté,Art,TLEPRO SYST.NUM.OPT.C RES.INF.SYST.COMM.,"TRISCCONSTR, TRISCMATHS",ANGLAIS LV1,FAUX,"14,05"
BACAR,Idriss,bacar.idriss@orange.fr,12/6/2000,077144352,Masculin,1MELEC,,Kiwi,Demi-pensionnaire,Natation,Actualité,1ERPRO METIERS ELECT. ENVIRON. CONNECTES,"1MELECCONSTR, 1MELECMATHS",ANGLAIS LV1,FAUX,"13,16"
BACH,Annwenn,bach.annwenn@free.fr,20/7/1999,0740826981,Féminin,TEVS,,Lactose,Demi-pensionnaire,Danse,Peinture,2CAP2  EMPL.VENTE: PRDTS EQUIP.COURANT,,ANGLAIS LV1,FAUX,"17,74"
BACHA,Enzo,bacha.enzo@outlook.com,17/11/2000,0639059293,Masculin,,,Fruits à coque,Demi-pensionnaire,Basketball,Sport,,,"ANGLAIS LV1, ESPAGNOL LV2",FAUX,"16,75"
BAH,Abdoulaye,bah.abdoulaye@gmail.com,24/7/2002,0720305117,Masculin,1RISC,,Poisson,Demi-pensionnaire,Natation,Art,1ERPRO SYST.NUM.OPT.C RES.INF.SYST.COMM.,"1RISCACCPE, 1RISCACCPE_1, 1RISCFRANCA_1, 1RISCMATHS, 1RISCMATHS_1",ANGLAIS LV1,FAUX,"13,32"
BAH,Abdul Aziz,bah.abdul aziz@free.fr,1/4/1999,0631510920,Masculin,TMELEC,,Soja,Demi-pensionnaire,Football,Magie,TLEPRO METIERS ELECT. ENVIRON. CONNECTES,"TMELECCONSTR, TMELECMATHS",ANGLAIS LV1,FAUX,"12,97"
BAH,Aïcha,bah.aïcha@outlook.com,20/10/1999,0757233578,Féminin,2HCRS,,,Demi-pensionnaire,Danse,Robotique,1CAP2  COMMER.SERV.HOTEL-CAFE-RESTAURANT,"2HCRSACCPE, 2HCRSACCPE_1, 2HCRSMATHS, 2HCRSMATHS_1, 2HCRSMATHS_2, EPS CAP 1",ANGLAIS LV1,FAUX,"13,47"
BAH,Alpha,bah.alpha@outlook.com,25/6/2001,0720810338,Masculin,1BRA,,Lactose,Externe,Karaté,Sport,1ERPRO CUISINE,,ANGLAIS LV1,FAUX,"13,66"
BAH,Mamadou Oury,bah.mamadou oury@yahoo.fr,24/6/2000,0620233993,Masculin,TCAPC,,Lactose,Externe,Gymnastique,Théâtre,2CAP2  CUISINE,,ANGLAIS LV1,FAUX,"11,3"
BAHROUN,Idris,bahroun.idris@gmail.com,13/3/1999,0630222503,Masculin,,,Poisson,Demi-pensionnaire,Football,Peinture,,,ANGLAIS LV1,FAUX,"15,81"
BAILLON,Mathieu,baillon.mathieu@outlook.com,1/4/2003,0669344902,Masculin,1MELEC,,,Externe,Football,Actualité,1ERPRO METIERS ELECT. ENVIRON. CONNECTES,"1MELECCONSTR, 1MELECMATHS",ANGLAIS LV1,FAUX,"14,68"
BALASKA,Romane,balaska.romane@gmail.com,16/5/2001,0675909753,Féminin,,,,Demi-pensionnaire,Basketball,Robotique,2NDPRO BOULANGER-PÂTISSIER,,ANGLAIS LV1,FAUX,"10,79"
BALIRY,Erwan,baliry.erwan@yahoo.fr,24/6/2004,0715377007,Masculin,2MCV2,,Kiwi,Demi-pensionnaire,Football,Actualité,2NDPRO MET. RELATION CLIENT 2NDE COMMUNE,"2MCV2FRANCA, 2MCV2MATHS_1, 2MCV2VENTP","ANGLAIS LV1, ESPAGNOL LV2",FAUX,"12,29"
BALLE BIOL,Djayelola Karina,balle biol.djayelola karina@orange.fr,27/3/2001,0794869833,Féminin,,,,Demi-pensionnaire,Gymnastique,Sport,,,"ANGLAIS LV1, ESPAGNOL LV2",FAUX,"14,47"
BALLEYGUIER,Léo,balleyguier.léo@orange.fr,6/9/1999,0634302779,Masculin,,,Oeuf,Demi-pensionnaire,Basketball,Robotique,,,ANGLAIS LV1,FAUX,"15,35"
BAMBA,Karidja,bamba.karidja@outlook.com,7/6/1999,0618882689,Féminin,TBC,,Soja,Demi-pensionnaire,Football,Sport,TLEPRO COMMERCE,"Musculation Tle G1 L, TBCMATHS, TBCVENTP","ANGLAIS LV1, ESPAGNOL LV2",FAUX,"15,43"
BAMBA,Kuoï Bi Abdul Kader,bamba.kuoï bi abdul kader@free.fr,22/6/1999,0772266949,Masculin,,,Poisson,Demi-pensionnaire,Basketball,Natation,,,ANGLAIS LV1,FAUX,"11,74"
BAMBA,Namawa,bamba.namawa@orange.fr,18/3/2000,0664281122,Féminin,1BV,,Poisson,Demi-pensionnaire,Tennis,Art,1ERPRO VENTE (PROSPECT.NEGO.SUIV.CLIENT),"1BVACCPE, 1BVMATHS, 1BVMATHS_1, 1BVVENTP","ANGLAIS LV1, ESPAGNOL LV2",FAUX,"14,81"
BANGURA,Mohamed,bangura.mohamed@gmail.com,1/9/2002,0630417749,Masculin,,,Fruits à coque,Externe,Danse,Sport,,,ANGLAIS LV1,FAUX,"17,7"
BAPTISTA,Thibault,baptista.thibault@orange.fr,22/10/2000,0793786099,Masculin,1BV,,,Demi-pensionnaire,Basketball,Peinture,1ERPRO VENTE (PROSPECT.NEGO.SUIV.CLIENT),"1BVACCPE, 1BVMATHS, 1BVMATHS_1, 1BVVENTP","ANGLAIS LV1, ESPAGNOL LV2",FAUX,"16,38"
BARBOTIN,Ange-Demba,barbotin.ange-demba@gmail.com,20/3/2001,0762996970,Masculin,1BC,,,Demi-pensionnaire,Natation,Peinture,1ERPRO COMMERCE,1BCMATHS,"ANGLAIS LV1, ESPAGNOL LV2",FAUX,"10,83"
BARRE,Océane,barre.océane@gmail.com,25/2/1999,0733698408,Féminin,,,Poisson,Externe,Tennis,Art,2NDPRO BOULANGER-PÂTISSIER,,ANGLAIS LV1,FAUX,"17,62"
BARRY,Boubacar,barry.boubacar@free.fr,4/10/2003,0756990261,Masculin,,,Lactose,Demi-pensionnaire,Tennis,Robotique,1CAP2  EMPL.VENTE: PRDTS EQUIP.COURANTS,"2EVSACCPE, 2EVSACCPE_1, 2EVSMATHS_1, 2EVSMATHS_1_1, 2EVSMATHS_2",ANGLAIS LV1,FAUX,"12,55"
BARRY,Ibrahima,barry.ibrahima@yahoo.fr,19/9/1999,0697414007,Masculin,TCAPC,,,Externe,Basketball,Actualité,2CAP2  CUISINE,,ANGLAIS LV1,FAUX,"16,52"
BARRY,Mamadou Boye,barry.mamadou boye@yahoo.fr,5/12/1999,0687127334,Masculin,THCRS,,Poisson,Demi-pensionnaire,Karaté,Magie,2CAP2  COMMER.SERV.HOTEL-CAFE-RESTAURANT,,ANGLAIS LV1,FAUX,"12,73"
BARRY,Mamadou Sansy,barry.mamadou sansy@yahoo.fr,16/6/2003,0674531297,Masculin,1BV,,Fruits à coque,Externe,Natation,Peinture,1ERPRE EURO VENTE(PROS.NEGO S.CLT,"1BVACCPE, 1BVMATHS, 1BVMATHS_1, 1BVVENTP","ANGLAIS LV1, ESPAGNOL LV2, ANGLAIS SECTION EURO",FAUX,"15,67"
BARRY,Ramatoulaye,barry.ramatoulaye@free.fr,27/3/2003,0756135018,Féminin,TCAPC,,Oeuf,Demi-pensionnaire,Tennis,Art,2CAP2  CUISINE,,ANGLAIS LV1,FAUX,"10,51"
BARRY,Saydou,barry.saydou@outlook.com,26/1/2004,0693744256,Masculin,2MCV2,,Oeuf,Externe,Natation,Art,2NDPRO MET. RELATION CLIENT 2NDE COMMUNE,"2MCV2FRANCA, 2MCV2FRANCA_1, 2MCV2MATHS_1, 2MCV2VENTP","ANGLAIS LV1, ESPAGNOL LV2",FAUX,"16,15"
BARTOLOMEU PIRES,Jennifer,bartolomeu pires.jennifer@yahoo.fr,15/8/1999,0636884414,Féminin,MCCDRA,,Oeuf,Demi-pensionnaire,Basketball,Robotique,MC  CUISINIER DESSERTS RESTAU. (MC5),,ANGLAIS LV1,FAUX,"16,48"
BARUTI,Joshua,baruti.joshua@gmail.com,1/5/2004,0757266218,Masculin,1BV,,,Externe,Karaté,Natation,1ERPRO VENTE (PROSPECT.NEGO.SUIV.CLIENT),"1BVACCPE, 1BVMATHS, 1BVMATHS_1, 1BVVENTP","ANGLAIS LV1, ESPAGNOL LV2",FAUX,"11,3"
BARZOLA LIRA,Alex Sebastian,barzola lira.alex sebastian@gmail.com,11/5/2000,0730436651,Masculin,TARED,,Fruits à coque,Demi-pensionnaire,Gymnastique,Natation,TLEPRO SYST.NUM.OPT.B AUD.RES.EQUIP.DOM.,"TAREDCONSTR, TAREDMATHS",ANGLAIS LV1,FAUX,"13,16"
BAZAS,Wiryam,bazas.wiryam@free.fr,23/1/2000,0674704807,Masculin,1MELEC,,Kiwi,Externe,Basketball,Théâtre,1ERPRO METIERS ELECT. ENVIRON. CONNECTES,"1MELECCONSTR, 1MELECMATHS",ANGLAIS LV1,FAUX,"17,35"
BAZIN,Noah,bazin.noah@gmail.com,13/3/2002,0741980051,Masculin,1ARED,,Lactose,Demi-pensionnaire,Natation,Actualité,1ERPRO SYST.NUM.OPT.B AUD.RES.EQUIP.DOM.,"1AREDCONSTR, 1AREDMATHS",ANGLAIS LV1,FAUX,"14,78"
BEA,Armel,bea.armel@free.fr,2/2/2004,0795109332,Masculin,TEVS,,,Demi-pensionnaire,Gymnastique,Natation,2CAP2  EMPL.VENTE: PRDTS EQUIP.COURANT,,ANGLAIS LV1,FAUX,"11,5"
BEGUE,William,begue.william@gmail.com,27/11/2000,0755264789,Masculin,,,Soja,Demi-pensionnaire,Gymnastique,Actualité,2NDPRO METIERS ELECT. ENVIRON. CONNECTES,,ANGLAIS LV1,FAUX,"11,91"
BEKIRI,Barâa,bekiri.barâa@outlook.com,23/2/2002,0747337775,Masculin,,,Soja,Demi-pensionnaire,Karaté,Robotique,,,ANGLAIS LV1,FAUX,"12,36"
BEKIRI,Wail,bekiri.wail@orange.fr,28/9/2003,0755379384,Masculin,,,Soja,Demi-pensionnaire,Tennis,Peinture,,,ANGLAIS LV1,FAUX,"10,3"
BELARBI,Samir,belarbi.samir@orange.fr,26/11/1999,0650941200,Masculin,MCCDRA,,Poisson,Demi-pensionnaire,Natation,Théâtre,MC  CUISINIER DESSERTS RESTAU. (MC5),,ANGLAIS LV1,FAUX,"17,92"
BELGHITH,Jamel,belghith.jamel@free.fr,9/1/2001,079576699,Masculin,2BP,,,Externe,Natation,Théâtre,2NDPRO BOULANGER-PÂTISSIER,"2BPACCPE, 2BPMATHS",ANGLAIS LV1,FAUX,"10,68"
BELHAJ,Siham,belhaj.siham@gmail.com,5/3/2004,0652439275,Féminin,1BC,,,Demi-pensionnaire,Danse,Peinture,1ERPRO COMMERCE,1BCMATHS,"ANGLAIS LV1, ESPAGNOL LV2",FAUX,"12,67"
BELKACEM,Nouredine,belkacem.nouredine@outlook.com,8/5/2000,0766345322,Masculin,TBC,,Kiwi,Externe,Natation,Magie,TLEPRO COMMERCE,"Musculation Tle G2 L, TBCMATHS, TBCVENTP","ANGLAIS LV1, ESPAGNOL LV2",FAUX,"11,51"
BELLAHCENE,Fouad,bellahcene.fouad@outlook.com,12/8/2003,0775161341,Masculin,,,,Demi-pensionnaire,Danse,Robotique,2NDPRO CUISINE,,ANGLAIS LV1,FAUX,"13,56"
BELLAKHDER,Mehdi,bellakhder.mehdi@gmail.com,14/1/2001,0774035588,Masculin,TARED,,Soja,Demi-pensionnaire,Gymnastique,Sport,TLEPRO SYST.NUM.OPT.B AUD.RES.EQUIP.DOM.,"TAREDCONSTR, TAREDMATHS",ANGLAIS LV1,FAUX,"15,18"
BELLEC,Ylan,bellec.ylan@free.fr,25/5/2000,0744753222,Masculin,1BP,,Lactose,Externe,Karaté,Art,1ERPRO BOULANGER-PÂTISSIER,1BPMATHS,ANGLAIS LV1,FAUX,"12,89"
BELLILI,Alan,bellili.alan@outlook.com,16/3/1999,0752087703,Masculin,,,Poisson,Demi-pensionnaire,Karaté,Cinéma,,,ANGLAIS LV1,FAUX,"14,42"
BELTOU,Mael,beltou.mael@free.fr,28/2/2003,0667000818,Masculin,1MELEC,,Soja,Demi-pensionnaire,Basketball,Théâtre,1ERPRO METIERS ELECT. ENVIRON. CONNECTES,"1MELECCONSTR, 1MELECMATHS","ANGLAIS LV1, ACCOMPAGNEMT. PERSO.",FAUX,"16,6"
BEN AICHA,Regueya,ben aicha.regueya@outlook.com,26/12/2003,0670272706,Féminin,,,Poisson,Demi-pensionnaire,Basketball,Théâtre,,,"ANGLAIS LV1, ESPAGNOL LV2",FAUX,"12,68"
BEN ALI,Areham,ben ali.areham@gmail.com,10/8/2003,0689797224,Masculin,,,Fruits à coque,Externe,Football,Peinture,,,ANGLAIS LV1,FAUX,"13,2"
BEN ARFA,Marouane,ben arfa.marouane@free.fr,5/9/2000,064345379,Masculin,,,Poisson,Demi-pensionnaire,Tennis,Cinéma,,,ANGLAIS LV1,FAUX,"15,12"
BEN SALAH,Abdelkader,ben salah.abdelkader@free.fr,4/6/2001,0676880962,Masculin,1ARED,,Fruits à coque,Demi-pensionnaire,Tennis,Théâtre,1ERPRO SYST.NUM.OPT.B AUD.RES.EQUIP.DOM.,"1AREDCONSTR, 1AREDMATHS",ANGLAIS LV1,FAUX,"16,76"
BENALI,Chakib,benali.chakib@yahoo.fr,13/11/2004,0740121377,Masculin,2POP1,,,Demi-pensionnaire,Tennis,Théâtre,2NDPRO METIERS ELECT. ENVIRON. CONNECTES,"2POP1MATHS, 2POP1MATHS_1",ANGLAIS LV1,FAUX,"13,42"
BENALLAL,Intissar,benallal.intissar@yahoo.fr,28/9/1999,0757398668,Féminin,1BC,,Kiwi,Externe,Tennis,Peinture,1ERPRO COMMERCE,1BCMATHS,"ANGLAIS LV1, ESPAGNOL LV2",FAUX,"14,44"
BENARD,Oscar,benard.oscar@free.fr,18/6/2004,0692229226,Masculin,1BP,,Soja,Demi-pensionnaire,Gymnastique,Magie,1ERPRO BOULANGER-PÂTISSIER,1BPMATHS,ANGLAIS LV1,FAUX,"11,95"
